date,county,covid,reflu,deaths
10/28/2022,Hyde ,1,1,0
10/28/2022,Iredell ,22,6,0
10/28/2022,Jackson ,7,1,0
10/28/2022,Johnston ,19,2,0
10/28/2022,Jones ,0,,0
10/28/2022,Lee ,8,0,0
10/28/2022,Lenoir ,4,1,0
10/28/2022,Lincoln ,14,3,0
10/28/2022,Macon ,1,0,0
10/28/2022,Madison ,0,,0
10/28/2022,Martin ,1,0,0
10/28/2022,McDowell,5,1,0
10/28/2022,Mecklenburg ,135,17,1
10/28/2022,Mitchell ,0,,0
10/28/2022,Montgomery ,0,,0
10/28/2022,Moore ,14,4,0
10/28/2022,Nash ,4,0,0
10/28/2022,New Hanover,12,0,0
10/28/2022,Northampton ,2,1,0
10/28/2022,Onslow ,18,4,0
10/28/2022,Orange ,11,1,0
10/28/2022,Pamlico ,1,1,0
10/28/2022,Pasquotank ,3,0,0
10/28/2022,Pender ,2,0,0
10/28/2022,Perquimans ,0,,0
10/28/2022,Person ,3,1,0
10/28/2022,Pitt ,21,3,0
10/28/2022,Polk ,2,0,0
10/28/2022,Randolph ,15,0,0
10/28/2022,Richmond ,3,0,0
10/28/2022,Robeson ,9,2,0
10/28/2022,Rockingham ,5,0,0
10/28/2022,Rowan ,13,3,0
10/28/2022,Rutherford ,6,1,0
10/28/2022,Sampson ,8,2,0
10/28/2022,Scotland ,4,2,0
10/28/2022,Stanly ,6,1,0
10/28/2022,Stokes ,5,1,0
10/28/2022,Surry ,8,2,0
10/28/2022,Swain ,3,0,0
10/28/2022,Transylvania ,5,0,0
10/28/2022,Tyrrell ,0,,0
10/28/2022,Union ,34,9,0
10/28/2022,Vance ,3,0,0
10/28/2022,Wake ,96,13,0
10/28/2022,Warren ,3,1,0
10/28/2022,Washington ,0,,0
10/28/2022,Watauga ,4,0,0
10/28/2022,Wayne ,13,3,0
10/28/2022,Wilkes ,6,0,0
10/28/2022,Wilson ,6,2,0
10/28/2022,Yadkin ,1,0,0
10/28/2022,Yancey ,0,,0
10/27/2022,Alamance ,26,2,0
10/27/2022,Alexander ,3,0,0
10/27/2022,Alleghany ,0,,0
10/27/2022,Anson ,0,,0
10/27/2022,Ashe ,2,0,0
10/27/2022,Avery ,1,0,0
10/27/2022,Beaufort ,4,1,0
10/27/2022,Bertie ,2,0,0
10/27/2022,Bladen ,2,0,0
10/27/2022,Brunswick ,21,4,0
10/27/2022,Buncombe ,37,3,1
10/27/2022,Burke ,17,3,0
10/27/2022,Cabarrus ,26,3,0
10/27/2022,Caldwell ,12,5,0
10/27/2022,Camden ,0,,0
10/27/2022,Carteret ,3,0,0
10/27/2022,Caswell ,4,1,0
10/27/2022,Catawba ,29,4,0
10/27/2022,Chatham ,10,3,0
10/27/2022,Cherokee ,7,2,0
10/27/2022,Chowan ,0,,0
10/27/2022,Clay ,4,1,0
10/27/2022,Cleveland ,8,3,1
10/27/2022,Columbus ,4,0,0
10/27/2022,Craven ,11,1,0
10/27/2022,Cumberland ,43,4,0
10/27/2022,Currituck ,3,2,0
10/27/2022,Dare ,10,1,0
10/27/2022,Davidson ,14,2,0
10/27/2022,Davie ,1,1,0
10/27/2022,Duplin ,6,1,0
10/27/2022,Durham ,50,9,0
10/27/2022,Edgecombe ,3,1,0
10/27/2022,Forsyth ,68,10,0
10/27/2022,Franklin ,8,1,0
10/27/2022,Gaston ,35,7,0
10/27/2022,Gates ,0,,0
10/27/2022,Graham ,1,0,0
10/27/2022,Granville ,28,9,0
10/27/2022,Greene ,2,1,0
10/27/2022,Guilford ,52,9,0
10/27/2022,Halifax ,2,0,0
10/27/2022,Harnett ,14,4,0
10/27/2022,Haywood ,12,3,0
10/27/2022,Henderson ,12,2,0
10/27/2022,Hertford ,2,1,0
10/27/2022,Hoke ,4,1,0
10/27/2022,Hyde ,1,0,0
10/27/2022,Iredell ,30,4,0
10/27/2022,Jackson ,5,1,0
10/27/2022,Johnston ,34,9,0
10/27/2022,Jones ,0,,0
10/27/2022,Lee ,7,1,0
10/27/2022,Lenoir ,6,2,0
10/27/2022,Lincoln ,9,1,0
10/27/2022,Macon ,3,1,0
10/27/2022,Madison ,0,,0
10/27/2022,Martin ,0,,0
10/27/2022,McDowell,5,0,0
10/27/2022,Mecklenburg ,128,23,0
10/27/2022,Mitchell ,0,,0
10/27/2022,Montgomery ,4,0,0
10/27/2022,Moore ,18,5,0
10/27/2022,Nash ,6,1,0
10/27/2022,New Hanover,11,2,0
10/27/2022,Northampton ,4,1,0
10/27/2022,Onslow ,14,2,0
10/27/2022,Orange ,21,4,0
10/27/2022,Pamlico ,1,0,0
10/27/2022,Pasquotank ,4,1,0
10/27/2022,Pender ,3,1,0
10/27/2022,Perquimans ,3,0,0
10/27/2022,Person ,1,0,0
10/27/2022,Pitt ,14,1,0
10/27/2022,Polk ,4,1,0
10/27/2022,Randolph ,10,3,0
10/27/2022,Richmond ,5,0,0
10/27/2022,Robeson ,19,7,0
10/27/2022,Rockingham ,15,2,0
10/27/2022,Rowan ,16,2,0
10/27/2022,Rutherford ,2,0,0
10/27/2022,Sampson ,12,3,0
10/27/2022,Scotland ,5,0,0
10/27/2022,Stanly ,11,3,0
10/27/2022,Stokes ,10,1,0
10/27/2022,Surry ,15,3,0
10/27/2022,Swain ,3,0,0
10/27/2022,Transylvania ,5,0,0
10/27/2022,Tyrrell ,0,,0
10/27/2022,Union ,31,5,0
10/27/2022,Vance ,6,0,0
10/27/2022,Wake ,101,12,0
10/27/2022,Warren ,1,0,0
10/27/2022,Washington ,1,0,0
10/27/2022,Watauga ,4,0,0
10/27/2022,Wayne ,16,1,0
10/27/2022,Wilkes ,11,4,0
10/27/2022,Wilson ,4,3,0
10/27/2022,Yadkin ,3,0,0
10/27/2022,Yancey ,1,0,0
10/26/2022,Alamance ,22,5,0
10/26/2022,Alexander ,8,1,0
10/26/2022,Alleghany ,1,0,0
10/26/2022,Anson ,1,0,0
10/26/2022,Ashe ,2,1,0
10/26/2022,Avery ,1,0,0
10/26/2022,Beaufort ,10,5,0
10/26/2022,Bertie ,0,,0
10/26/2022,Bladen ,3,1,0
10/26/2022,Brunswick ,17,1,0
10/26/2022,Buncombe ,47,5,2
10/26/2022,Burke ,22,4,0
10/26/2022,Cabarrus ,25,3,0
10/26/2022,Caldwell ,25,8,0
10/26/2022,Camden ,3,0,0
10/26/2022,Carteret ,12,0,0
10/26/2022,Caswell ,3,0,0
10/26/2022,Catawba ,37,6,0
10/26/2022,Chatham ,11,2,0
10/26/2022,Cherokee ,2,1,0
10/26/2022,Chowan ,1,0,0
10/26/2022,Clay ,5,1,0
10/26/2022,Cleveland ,14,7,0
10/26/2022,Columbus ,5,0,0
10/26/2022,Craven ,15,1,0
10/26/2022,Cumberland ,30,1,0
10/26/2022,Currituck ,2,0,0
10/26/2022,Dare ,6,0,0
10/26/2022,Davidson ,23,3,0
10/26/2022,Davie ,1,1,0
10/26/2022,Duplin ,5,1,0
10/26/2022,Durham ,55,7,0
10/26/2022,Edgecombe ,4,0,0
10/26/2022,Forsyth ,99,15,0
10/26/2022,Franklin ,6,0,0
10/26/2022,Gaston ,32,2,0
10/26/2022,Gates ,1,0,0
10/26/2022,Graham ,3,1,0
10/26/2022,Granville ,20,4,0
10/26/2022,Greene ,3,1,0
10/26/2022,Guilford ,48,10,1
10/26/2022,Halifax ,15,3,0
10/26/2022,Harnett ,22,2,0
10/26/2022,Haywood ,16,0,0
10/26/2022,Henderson ,21,2,0
10/26/2022,Hertford ,3,0,0
10/26/2022,Hoke ,3,0,0
10/26/2022,Hyde ,2,0,0
10/26/2022,Iredell ,26,5,0
10/26/2022,Jackson ,2,0,0
10/26/2022,Johnston ,37,6,0
10/26/2022,Jones ,1,0,0
10/26/2022,Lee ,8,0,0
10/26/2022,Lenoir ,4,1,0
10/26/2022,Lincoln ,13,1,0
10/26/2022,Macon ,2,0,0
10/26/2022,Madison ,2,1,0
10/26/2022,Martin ,1,0,0
10/26/2022,McDowell,4,1,0
10/26/2022,Mecklenburg ,178,37,1
10/26/2022,Mitchell ,0,,0
10/26/2022,Montgomery ,4,0,0
10/26/2022,Moore ,17,2,0
10/26/2022,Nash ,8,1,0
10/26/2022,New Hanover,15,1,0
10/26/2022,Northampton ,9,1,0
10/26/2022,Onslow ,14,3,0
10/26/2022,Orange ,11,1,0
10/26/2022,Pamlico ,0,,0
10/26/2022,Pasquotank ,8,0,0
10/26/2022,Pender ,4,1,0
10/26/2022,Perquimans ,0,,0
10/26/2022,Person ,2,0,0
10/26/2022,Pitt ,19,1,0
10/26/2022,Polk ,6,0,0
10/26/2022,Randolph ,9,2,0
10/26/2022,Richmond ,2,0,0
10/26/2022,Robeson ,22,3,0
10/26/2022,Rockingham ,7,0,0
10/26/2022,Rowan ,10,2,0
10/26/2022,Rutherford ,8,1,0
10/26/2022,Sampson ,13,5,0
10/26/2022,Scotland ,7,1,0
10/26/2022,Stanly ,9,3,0
10/26/2022,Stokes ,11,1,0
10/26/2022,Surry ,16,3,0
10/26/2022,Swain ,5,0,0
10/26/2022,Transylvania ,3,0,0
10/26/2022,Tyrrell ,1,0,0
10/26/2022,Union ,37,8,0
10/26/2022,Vance ,6,2,0
10/26/2022,Wake ,130,21,0
10/26/2022,Warren ,3,0,0
10/26/2022,Washington ,1,0,0
10/26/2022,Watauga ,4,1,0
10/26/2022,Wayne ,10,1,0
10/26/2022,Wilkes ,11,1,0
10/26/2022,Wilson ,7,2,0
10/26/2022,Yadkin ,7,2,0
10/26/2022,Yancey ,1,0,0
10/25/2022,Alamance ,24,4,0
10/25/2022,Alexander ,5,1,0
10/25/2022,Alleghany ,0,,0
10/25/2022,Anson ,1,1,0
10/25/2022,Ashe ,1,0,0
10/25/2022,Avery ,2,1,0
10/25/2022,Beaufort ,8,2,0
10/25/2022,Bertie ,2,0,0
10/25/2022,Bladen ,1,0,0
10/25/2022,Brunswick ,19,3,0
10/25/2022,Buncombe ,36,6,0
10/25/2022,Burke ,5,1,0
10/25/2022,Cabarrus ,21,3,0
10/25/2022,Caldwell ,11,2,0
10/25/2022,Camden ,1,0,0
10/25/2022,Carteret ,13,1,0
10/25/2022,Caswell ,4,0,0
10/25/2022,Catawba ,36,4,0
10/25/2022,Chatham ,20,6,0
10/25/2022,Cherokee ,3,1,0
10/25/2022,Chowan ,0,,0
10/25/2022,Clay ,1,0,0
10/25/2022,Cleveland ,9,4,0
10/25/2022,Columbus ,4,0,0
10/25/2022,Craven ,12,2,0
10/25/2022,Cumberland ,47,8,0
10/25/2022,Currituck ,5,1,0
10/25/2022,Dare ,5,0,0
10/25/2022,Davidson ,26,5,1
10/25/2022,Davie ,8,2,0
10/25/2022,Duplin ,4,2,0
10/25/2022,Durham ,45,1,0
10/25/2022,Edgecombe ,5,2,0
10/25/2022,Forsyth ,60,9,0
10/25/2022,Franklin ,6,1,0
10/25/2022,Gaston ,33,5,0
10/25/2022,Gates ,0,,0
10/25/2022,Graham ,2,0,0
10/25/2022,Granville ,7,3,0
10/25/2022,Greene ,4,0,0
10/25/2022,Guilford ,57,8,1
10/25/2022,Halifax ,13,2,0
